property_name,link,society,price,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id,rate,noOfFloor
"4 Bedroom House for sale in Tavarekere, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-tavarekere-bangalore-south-1050-sqft-spid-O89424570,"Tavarekere, Bangalore, Bangalore South",4 Crore,Plot area 1050(97.55 sq.m.)Built-up area: 1050 sqft (97.55 sq.m.)Carpet area: 950 sqft (88.26 sq.m.),4 Bedrooms,4 Bathrooms,3 Balconies,"Pooja Room,Study Room,Servant Room,Store Room","Tavarekere, Bangalore",East,10+ Year Old,"['VICARIATE HOUSE PRECIOUS BLOOD', 'ANTHONY CHURCH', 'SHIVA TEMPLE', 'Anjaneya Temple', 'Srirama Temple', 'CST Rnewal Retreat Centre', 'Ganesha Temple', 'Federal bank ATM', 'Hdfc bank ATM', 'Axis bank ATM', 'Citibank ATM', 'Lavis Hospital', 'Health India Hospital', 'Spurthy Hospital', 'Sri Jyoti Eye Clinic', 'Vinayaka Sai Dental Clinic', 'Life Care Hospital', 'Tooth N Care', 'Dr. Santosh Clinic', 'Amba Laser Clinic', 'Andra Curry Point', 'Aswini Hotel', 'New Surya Sweets', 'Tasty Restaurant', 'Pongal Veg Cafe', 'Shanti Sagar', 'Jose Mess', 'Dominos Pizza', 'BNG Dining', 'Ande Ka Funda', 'Cosmo Bakery', 'Gangothri Bar', 'Indira Convent HS Madiwala', 'A V S Convent Madiwala', 'Venkateshwara HS Madiwala W No 66', 'GHPS Tavarekere', 'St Flourence HS Madiwala', 'GUMHPS Old Gurappana Palya', 'Christ School S G Palya Lakkasandra', 'Kamala Neharu Gandhi Tavarekere Primary school Madiwala', 'Christha Vidyalaya HS Lakkasandra', 'Genises Public School Lakkasandra', 'GUHPS New Gurappana Palya', 'GUHPS New Tavarekere', 'Lilly Rose English High School', 'GHPS Suddagunte Palya', 'Padmavathi HPS Madivala', 'Wisdom International School', 'RS Madivala School', 'Francescon S G Palya']","Premium residential property with commercial office space
Btm 1st stage  tavarekere, bangalore","['4 Wardrobe', 'Fan', '1 Geyser', 'Light', '1 AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Rain Water Harvesting']","['Connectivity4.3 out of 5', 'Lifestyle4.2 out of 5', 'Safety4.1 out of 5', 'Green Area3.9 out of 5']",O89424570,"₹38,095 /sqft",3 Floors
"4 Bedroom House for sale in Panditana Agrahara, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-panditana-agrahara-bangalore-east-2262-sq-ft-spid-P89426628,"Panditana Agrahara, Bangalore, Bangalore East",2.25 Crore,Plot area 1200(111.48 sq.m.)Built-up area: 2262 sqft (210.15 sq.m.),4 Bedrooms,4 Bathrooms,1 Balcony,"Study Room,Store Room","Panditana Agrahara, Bangalore",East,Within 3 months,[],"4 bhk east-Facing villa for sale  pelican squareSpacious 4 bhk east-Facing villa available for sale in the premium pelican square gated community. The villa offers well-Planned living spaces with excellent ventilation and natural light, ideal for comfortable family living.Property includes covered parking for 2 cars and bike parking. Located in a secure gated community with access to clubhouse, swimming pool, gym, parks, and other lifestyle amenities.Peaceful residential environment with good connectivity to schools, hospitals, and major it hubs. Serious buyers can contact for more details and site visit.",[],"['Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Guard', 'Low Density Society', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house']",[],P89426628,"₹18,750 /sqft",3 Floors
"4 Bedroom House for sale in Jyothi Nagar, Neelamangala, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-jyothi-nagar-bangalore-north-2500-sqft-spid-O89443820,"Jyothi Nagar, Neelamangala, Bangalore, Bangalore North",1.8 Crore,Plot area 1200(111.48 sq.m.)Built-up area: 2500 sqft (232.26 sq.m.)Carpet area: 1800 sqft (167.23 sq.m.),4 Bedrooms,4 Bathrooms,2 Balconies,Pooja Room,"Jyothi Nagar, Neelamangala, Bangalore",North-West,0 to 1 Year Old,"['Prasanna Anjaneya Temple', 'Canara bank ATM', 'Axis bank ATM', 'M S Ramaiah Harsha Hospital', 'Sharada Hospital Bengaluru Rural', 'Jayaprasad Nursing Home', 'Ravi Nursing Home Bengaluru Rural', 'Mathru Shree Hospital', 'Prasad Hospital Bengaluru Rural', 'Nelamangala General Hospital', 'Nelamangala Taluk Office', 'Hdfc bank', 'State bank of india', 'Shantala Theatre', 'Rupe Theatre', 'Adichunchanagiri ITI college', 'Vishal School', 'Pavada Basavanna Devara Mata', 'Vinayaka School', 'Nelamangala Government Junior College']","Brand new modern triplex independent house with premium construction and elegant interiors. The property features a grand double-Height staircase with a designer crystal chandelier, giving a luxurious and spacious feel. High ceilings, premium marble flooring, and large windows provide excellent natural light and ventilation.The house includes spacious bedrooms, modern interiors, and a large covered parking area. Newly constructed (Only 4 months old) with quality materials and contemporary design. The property also offers peaceful surroundings with beautiful open views near nelamangala, making it ideal for a comfortable family home.","['3 Bed', '3 Wardrobe', 'Fan', 'Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],[],O89443820,"₹15,000 /sqft",2 Floors
"3 Bedroom House for sale in Singapura Village, Varadharaja Nagar, Bangalore",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-singapura-village-bangalore-north-1200-sqft-spid-P89414131,"Singapura Village, Varadharaja Nagar, Bangalore, Bangalore North",2.5 Crore,Plot area 1200(111.48 sq.m.),3 Bedrooms,2 Bathrooms,2 Balconies,Pooja Room,"Singapura Village, Varadharaja Nagar, Bangalore",North-East,0 to 1 Year Old,"['Noorani Masjid', 'Ambabavani Temple', 'State bank of india ATM', 'Canara bank ATM', 'Indus ind bank ATM', 'Aveksha Hospital', 'Rajalakshmi Hospital', 'Sanjeevani Health Care', 'Sri Gopalan Clinic', 'Om Sai Clinic', 'Shree Sai Hospital', 'London Hospital', 'Government Hospital', 'Global Health Centre', 'Honey Homeopathy Clinic', 'Satish Poly Clinic', 'Nagappa Hadli Hospital', 'Floss and Gloss Dental Clinic', 'Sarwari Poly Clinic', 'Shama Charitable Clinic', 'Government Hospital', 'Santhamma Hospital', 'Oskas Clinic', 'Rishi Acupuncture Clinic', 'Dr. Josephs Holistic Health Care Clinic', 'Sonal Dental Care', 'Radhika clinic', 'Shekar Super Speciality Eye Centre', 'Bangalore Healthcare Center Pranav Ayurveda Hospital', 'Spandana Clinic', 'Bangalore Healthcare Centre', 'MedPlus Pharmacy', 'Maruti Medicals', 'Kuvempunagar 2nd Stage', 'Hindustan Petroleum', 'State bank of india', 'State bank of india', 'Air Force Theatre', 'Oyalo Pizza', 'Chilli Shots Restaurant', 'Annapoorna Hotel', 'Bismillah Hotel', 'Raksha Bar and Restaurant', 'Emily Chilli Cafe', 'Shiva Bar and Restaurant', 'Mr. Chef', 'Sambhram Institute of Technology', 'Air Force School', ""Little Lilly's chool"", 'Vesper Pharmaceuticals']","The ground floor has 2bhk+parking, first floor has 3bhk, second floor has 1bhk+2bhk","['3 Wardrobe', 'Fan', '1 Exhaust Fan', 'Light', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Vaastu Compliant', 'False Ceiling Lighting', 'Piped-gas', 'Visitor Parking']","['Connectivity3.9 out of 5', 'Lifestyle3.9 out of 5', 'Safety4 out of 5', 'Green Area4.1 out of 5']",P89414131,"₹20,833 /sqft",3 Floors
"4 Bedroom House for sale in Budigere, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-budigere-bangalore-north-3045-sqft-spid-M89376009,Trifecta Verde En Resplandor,2.8 Crore,Built-up area: 3045 (282.89 sq.m.),4 Bedrooms,4 Bathrooms,2 Balconies,"Pooja Room,Study Room,Servant Room","Villa 58 Trifecta Verde En Resplandor Thirumenahalli Road Jyothipura Village, Budigere, Bangalore",West,undefined,[],"This 4 bhk house for sale in budigere, a well planned locality in bangalore east, is ideal for a family that is looking for complete peace of mind. The floor plan additionally contains 4 bedrooms, 4 bathrooms and 2 balconies. All in all, the independent house is spread over a built up area of 3045 sq.Ft. This 3 year old property is available for immediate possession as the house is ready to move. It is a freehold property. By paying just 3 crore, you can become the proud owner of this independent house. The house provides a continuous supply of water for its residents. This is a west-Facing property.","['1 Water Purifier', 'Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '4 Geyser', '1 Stove', 'Light', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '4 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No AC']",[],"['Connectivity3.8 out of 5', 'Lifestyle3.8 out of 5', 'Safety3.6 out of 5', 'Green Area3.6 out of 5']",M89376009,"₹9,195 /sqft",1 Floors
"2 Bedroom House for sale in BEML Layout, Rajarajeshwari Nagar",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-beml-layout-bangalore-west-1500-sq-ft-spid-S89428360,"BEML Layout, Rajarajeshwari Nagar, Bangalore West",5.9 Crore,Plot area 2440(226.68 sq.m.)Built-up area: 1500 sqft (139.35 sq.m.),2 Bedrooms,2 Bathrooms,3+ Balconies,,"BEML Layout, Rajarajeshwari Nagar",,1 to 5 Year Old,[],"Located in rr nagara beml layout 5th stage , bangalore south, this 1-5 year old independent 2 bhk villa offers 2440 sq.Ft. Of spacious living with 2 bedrooms and 2 bathrooms. Available immediately for sale, the unfurnished property spans multiple floors, providing a comfortable and private residential option.",[],[],"['Connectivity4.2 out of 5', 'Lifestyle4.3 out of 5', 'Safety4 out of 5', 'Green Area4.3 out of 5']",S89428360,"₹24,180 /sqft",1 Floors
"2 Bedroom House for sale in Lakshmisagara, Bangalore",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-lakshmisagara-bangalore-south-1200-sqft-spid-F89351143,erayaa indranee lake viwe,63 Lac,Plot area 1200(111.48 sq.m.)Carpet area: 300 sqft (27.87 sq.m.),2 Bedrooms,2 Bathrooms,1 Balcony,,"Lakshmisagara, Bangalore",,0 to 1 Year Old,"['Ram Temple', 'Temple', 'Shree Pashwanath Sushil Dhaam', 'Jaya Krishna Clinic', 'RMHC Homeopathy Clinic', 'Naryana Hrudalya', 'E-City Allergy & Asthma Specialty Clinic', 'Sri Swaranaamrutha Hospital', 'Global Speciality Hospital', 'Athreya Hospital Chandpura', 'Athreya Hospital', 'Sri Ragavendhra Upahar Electronic City', 'Hotel Sinchara', 'Rddy Restaurent Electronic City', 'Hotel Sinchara Electronic City', 'Bangalore College Of Engineering And Technology', 'Heelalige railway station']","Nestled in lakshmisagara, bangalore south, this 2 bhk independent villa spans 1200 sq.Ft. With 2 bedrooms and 2 bathrooms, the nearly new, unfurnished home offers immediate availability. Enjoy close proximity to religious sites like ram temple and healthcare at jaya krishna clinic. Ideal for peaceful living with a lake view.",[],[],[],F89351143,"₹5,250 /sqft",1 Floors
"5 Bedroom House for sale in Bhuvaneshwari Nagar, Nagadevanahalli, Bangalore",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-bhuvaneshwari-nagar-bangalore-west-2200-sqft-spid-W89323171,"Bhuvaneshwari Nagar, Nagadevanahalli, Bangalore, Bangalore West",1.98 Crore,Plot area 600(55.74 sq.m.)Built-up area: 2200 sqft (204.39 sq.m.),5 Bedrooms,5 Bathrooms,2 Balconies,"Study Room,Pooja Room","Bhuvaneshwari Nagar, Nagadevanahalli, Bangalore",West,5 to 10 Year Old,"['Mata Amritanandamayi Math', 'Hatti Lakkamma Temple', 'Vinayaka Temple', 'Muneshwara Temple', 'Shri Laxmi Narasimha Swamy Temple', 'State bank of india ATM', 'Icici bank ATM', 'Axis bank ATM', 'Kotak mahindra bank ATM', 'Uco bank ATM', 'Oriental bank of commerce ATM', 'Vijaya Hospital Bengaluru Urban', 'Sree Ranga Hospital', 'Sankalpa Hospital', 'MEDSOL Hospital', 'Abhay Hospital', 'Sri Annapoorneshwari Hospital', 'Adishesha Netralaya', 'Medical Center', 'IEM Auditorium', 'Bangalore Fine Chemicals', 'MedPlus', 'Green House', 'Ageis auto testng', 'Axis bank', 'Kotak mahindra bank rvce branch', 'Canara bank', 'University Cafeteria', 'Hotel Dream Land', 'Brew Kings', 'Rolls Rice Cafe', 'Udupi Upahar', 'Sip n Hog', 'Biryani Katte', 'Anda Ka Funda', 'Dosa Hut', 'Sri Lakshmi Juice Center', 'Biryani Bhavan', 'Sathkar Juice Centre', 'royal andaaz', 'Gnana Bodhini Primary School', 'Bangalore University', ""St. Anthony's PU College"", 'Orchids The International School Mysore Road', ""Vice Chancellor's Lodge"", 'R.V. College of Engineering', 'Department of Geology', 'Sifang India Pvt. Ltd.', 'Texport Garments']","A well-Constructed house built on 600 sq. Ft. (15 40 feet) is available for sale. The house is built with high-Quality bricks and strong construction, ensuring durability and safety. It is located in a well-Developed area with easy access to schools, hospitals, and other essential facilities, making it perfect for families. The property is in a convenient and peaceful location with all basic amenities nearby. Price is negotiable, making it a great opportunity for buyers looking for a valuable home.",[],['Private Garden / Terrace'],"['Connectivity3.9 out of 5', 'Lifestyle3.8 out of 5', 'Safety3.9 out of 5', 'Green Area3.8 out of 5']",W89323171,"₹33,000 /sqft",4 Floors
"3 Bedroom House for sale in Kambipura, Bangalore",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-kambipura-bangalore-east-2410-sqft-spid-M89340093,"Kambipura, Bangalore, Bangalore East",5.25 Crore,Plot area 1903(176.79 sq.m.)Built-up area: 2410 sqft (223.9 sq.m.),3 Bedrooms,3 Bathrooms,1 Balcony,"Pooja Room,Study Room","Kambipura, Bangalore",West,5 to 10 Year Old,[],"A unit in good earth malhar mosaic community . It is a 3.5bhk home built on land parcel of size 1903 sq ft, with a total built up area of 2410 sq ft (1245 sq ft built up area on the ground floor and 1165 sq ft built up area in the first floor)and also comes with another 755 sq ft of land surrounding the unit which has been converted to a very nice courtyard at the front and a back garden (Complete with a nice lawn, veggie patch, flowering plants and fruit trees). The house comes, ready to move in with modern amenities like a modular kitchen with top end appliances (Cook top, island chimney, oven), solar ups (Upgradable to 5kw), solar hot water system and most of all close proximity to mysore road (1.8 kms), acs engineering college (1.5kms), rajarajeshwari hospital (1.8kms), challaghatta metro station (2.0kms), nice road corridor (3 kms) and kengeri metro station (4.5kms).",[],"['Security / Fire Alarm', 'Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Swimming Pool', 'Park', 'Security Guard', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house']",[],M89340093,"₹27,588 /sqft",2 Floors
"7 Bedroom House for sale in Annasandrapalya Extension, Old Airport Road",https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-annasandrapalya-extension-bangalore-east-5000-sq-ft-r1-spid-H80356005,"Annasandrapalya Extension, Old Airport Road, Bangalore East",4.25 Crore,Plot area 1800(167.23 sq.m.)Built-up area: 5000 sqft (464.52 sq.m.),7 Bedrooms,5 Bathrooms,3 Balconies,"Pooja Room,Servant Room,Store Room,Study Room","Annasandrapalya Extension, Old Airport Road",East,10+ Year Old,"['Sri Ram Mandir', 'St Thomas Church', 'Sri Angala Parameshwari Temple', 'Mosque', 'St Chapel', 'Sbi ATM', 'Icici ATM', 'Dcb ATM', 'Federal bank ATM', 'Axis bank ATM', 'SNP Homoeopathy Clinic', 'Dr. Harish Tyagi Clinic', 'Arya Dental Care', 'SRK Dental Clinic', 'Raju Health Centre', 'Lifeline Polyclinic', 'Samruddhi Health Care Centre', 'Nms Sanjivini Health Center', 'VHC International', ""Jhon's Medical Hospital"", 'Sri Balaji Clinic', 'Medihope Super Specialty Hospital', 'Apple Clinic', 'Health Care Medi Clinic', 'Bangalore Psoriasis Clinic', 'APM Optics', 'Lotus Medical Centre', 'Dalit Youth Welfare Association', 'Ramdev Pharmacy', 'Patanjali Pharmacy', 'Milan Pharma', 'Punjab national bank', 'State bank of india', 'Sathkar Cafe', 'Goli Vadapav', 'Udupi', 'Chai Darbar', 'Treat Kitchen', 'Venad Kitchen', 'Grill Hut', 'Kabab Souq', 'Juice Souq', 'Moriz', 'Biriyani Zone', 'Orchids The International School - C V Raman Nagar', 'Sanskrithi Foundation', 'Sacred Heart College', 'Kids Castle', 'Ayon International Pre School', ""Hayagriva Girls' School""]","An impeccable opportunity is here for those who are looking to own aesthetically designed independent villa near old airport road bangalore which ensures a relaxed and comfortable stay. Being an independent villa it provides you a serene and tranquil environment with a modern setup. This villa provides ample natural light and has good ventilation that invites comfort.
Duplex house with 7 bedrooms, 5 bathrooms, 1 kitchen/dinning, 3 living room - Please check the house plan pics for the layout.
Ground floor - Living room/pooja room/kitchen/dinning/ 1 bedroom
First floor :- 1 living/sit out room/3 bedrooms with two ensuite with dressing room
Second floor :- 1 living/sit out room/2 bedrooms with 1 ensuite with dressing room /home theatre room
Third floor :- 1 bedroom/ terrace/party set up
Architect designed independent villa with spacious rooms and lavish interiors, look and feel good of the corner property.
Cauvery water line with ample supply
Calm, safe residential locality
Within 10-15 min drive to itpl, marathahalli, domlur, brooke fields
Bangalore central areas, mg road within 20 min/7 km drive","['Fan', '4 Geyser', '1 Stove', 'Light', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'High Ceiling Height', 'False Ceiling Lighting', 'Visitor Parking']","['Connectivity3.7 out of 5', 'Lifestyle3.7 out of 5', 'Safety3.7 out of 5', 'Green Area3.5 out of 5']",H80356005,"₹23,611 /sqft",3 Floors
"4 Bedroom House for sale in Gauribidanur, Chikkaballapur",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-gauribidanur-bangalore-north-1120-sqft-spid-G89321193,"Gauribidanur, Chikkaballapur, Bangalore North",1.38 Crore,Plot area 1120(104.05 sq.m.),4 Bedrooms,4 Bathrooms,2 Balconies,Pooja Room,"Gauribidanur, Chikkaballapur",South,5 to 10 Year Old,[],"Ground floor commercial with 5hp power and water bore with 20k rent 
1st floor semi furnished home with big hall and one attached bathroom, and outside separate bathroom. 2nd floor same as 1st floor, terrace 10*10 store room available.","['1 Wardrobe', 'Light', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"['Connectivity3.8 out of 5', 'Lifestyle3.7 out of 5', 'Safety3.7 out of 5', 'Green Area3.9 out of 5']",G89321193,"₹12,321 /sqft",2 Floors
"10 Bedroom House for sale in Dasanapura, Near Tumkur Road, Bangalore",https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-dasanapura-bangalore-west-7000-sq-ft-r1-spid-D70114142,"Dasanapura, Near Tumkur Road, Bangalore, Bangalore West",3 Crore,Built-up area: 7000 (650.32 sq.m.),10 Bedrooms,4 Bathrooms,No Balcony,,"Dasanapura, Bangalore, Dasanapura, Near Tumkur Road, Bangalore",,0 to 1 Year Old,[],"Are you planning to buy your dream home? You can consider this well-Built 10 bhk house for sale in dasanapura, bangalore west and make it your new address. Constructed on a built up area of 7000 sq.Ft., this house comprises 10 bedrooms, 4 bathrooms . Another added advantage of this 0-1 year old house is that it is available for immediate possession. The type of ownership of this property is freehold. The price of this spacious independent house is 3 crore.","['Light', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"['Connectivity4.1 out of 5', 'Lifestyle4.2 out of 5', 'Safety4.2 out of 5', 'Green Area4.1 out of 5']",70114142,"₹4,286 /sqft",1 Floors
"5 Bedroom House for sale in Bommanahalli, Bangalore",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-bommanahalli-bangalore-south-6200-sqft-spid-K89290163,"Bommanahalli, Bangalore, Bangalore South",4.9 Crore,Plot area 1872(173.91 sq.m.)Built-up area: 6200 sqft (576 sq.m.),5 Bedrooms,5 Bathrooms,3+ Balconies,,"Bommanahalli, Bangalore",,10+ Year Old,"['Bommanahalli metro station', 'Ganesh Temple', 'Bommanahalli Mosque', 'Ganesha Temple', 'Muneeshwara Swamy Temple', 'Hanuman Temple', 'Shanishwara temple', 'Canara bank ATM', 'Icici bank ATM', 'Indian overseas bank ATM', 'Hdfc bank ATM', 'State bank of india ATM', 'Axis bank ATM', ""Dr. Reddy's Dental Forum"", 'Mahanth Hospital', 'Prashanth Hospital', 'Vinayaka Specialty Hospital', 'Kottakkal Arya Vaidya Sala', 'Bhaanu Nursing Home', 'Srushti Hospital Bengaluru Rural', 'ROOPENA AGRAHARA Government Hospital', 'Kavya Hospital', 'Hospital', 'Jain Medicals', 'Ram Medicals', 'Sri Sairam Medicals', 'Balaji Medicals', 'Indian Oil', 'Bharat Petroleum', 'Lakshmi vilas bank', 'Sri Krishna Upahara', 'Ammis Biryani', ""Ammi's Biryani"", 'Dandes Hyderabad Biryani', 'Swati Bakery', 'Tharavad', 'New Pecidencny Public School Icse', 'EHPS New Francis Bommana Halli', 'EHPS Amardeep Bommana Halli', 'St Joseph HPS Bommana Halli', 'Lorven Pub Sch', 'GHPS Kodichikkana Halli', 'New Cambridge Convent &HS Bommana Halli', 'GUHPS', 'Anikethan Pub Sch Hongasandra 1', 'Silicon City HPS Bommana Halli', 'Sri Ram Driving School', 'Sadhguru Sai Baba HPS Roopena', 'GKHPS Bommanahalli', 'Haadibadi library']","This 5 bhk independent villa in bommanahalli offers 1872 sq.Ft. Of well-Designed living space with 5 bathrooms, ready for immediate occupancy. Located near bommanahalli metro and several religious sites, the 10+ year old property is unfurnished and situated on a peaceful floor level, ideal for comfortable family living in bangalore south.","['2 Wardrobe', 'Fan', '1 Geyser', 'Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"['Connectivity4.4 out of 5', 'Lifestyle4.2 out of 5', 'Safety4.2 out of 5', 'Green Area4 out of 5']",K89290163,"₹26,175 /sqft",4 Floors
"4 Bedroom House for sale in 2nd Block, RT Nagar, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-2nd-block-rt-nagar-bangalore-north-2684-sqft-spid-E89325739,"2nd Block, RT Nagar, Bangalore, Bangalore North",9.66 Crore,Plot area 2684(249.35 sq.m.),4 Bedrooms,4 Bathrooms,3 Balconies,"Pooja Room,Store Room,Study Room","2nd Block, RT Nagar, Bangalore",North-East,10+ Year Old,"['Rama temple', 'Ganesha Temple', 'Vijaya bank ATM', 'Uco ATM', 'Icici ATM', 'Citibank ATM', 'Sbi ATM', 'Premier Hospital', 'Chaitanya Hospital', 'Poornima Hospital', 'Lakshmi Hospital Ganganagar', 'Kids Care Health Centre', 'Pradnya Nethralaya', 'Vasan Eye Care Hospital R.T.Nagar', 'Asha Kiran Children & Women Health Care Centre', 'TSR heart care', 'CUPA Small Animals Hospital', 'V Care Hospital', 'Maruti Clinic', 'Shanmuga Nursing Home Bengaluru Urban', 'Dental Care Center', 'AB EyeCare', 'Rajkumar Diagnostics', 'Popular Medical And General', 'Sri Srinivasa Medicals', 'Trust Chemists Druggists', 'A.K Medicals', 'Maruti Medicals and Genral Stores', 'Mohite Medicals', 'RT Nagar Bus Depot', 'Lakshmamma Petrol Gas Station', 'Andhra bank', 'Federal bank', 'Dena bank', 'Star health bank', 'Pushpanjili Theatre', 'Cafe Coffee Day', 'Al Bek', 'New Shanti Sagar', 'Ujwal Bar and Restaurant', 'Vishnu Garden Vegetarian Restaurant', 'Tiffin Centre', 'Punjabi Rasoi', 'Kudla', 'Kabab Manor', 'Empire Hotel', ""Adiga's"", 'Kingston school', 'Equations', 'Rt nagar public library']","The site is a 61x44 corner northeast corner site, facing a park. The building has 4 bedrooms in the duplex portion (Ground and first floor) , with 3 attached bathrooms. The second floor is an independent portion, with 2 bedrooms, with attached bathrooms, all the balconies overlook the park. There is a car garage. 2 cars can be parked inside. The building has been recently renovated and is in very good condition.","['1 Sofa', '3 Geyser', '1 Stove', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Fan', 'No Light', 'No Microwave', 'No Fridge', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Water Storage', 'Park', 'Recently Renovated', 'Visitor Parking', 'Rain Water Harvesting']",[],E89325739,"₹35,991 /sqft",3 Floors
